epoch,train_total,train_box_loss,train_cls_loss,train_obj_focal_loss,val_box_loss,val_cls_loss,val_obj_focal_loss,val_mean_iou,val_cls_accuracy,val_obj_f1,val_obj_precision,val_obj_recall,combined_score,epoch_seconds
1,11.461140315159877,0.7018920023774566,0.629143079619643,9.428213263131532,0.5320131605863572,0.48342736572027206,31.923039970397948,0.3679969656467438,0.7603488779067993,0.07509244334881957,0.8198757763975155,0.03934817170111288,0.40114609563412085,310.43134665489197
2,2.596600738495329,0.5602272625782341,0.4154820062964846,1.0606642041993508,0.500599040389061,0.4252995827794075,10.013466552495956,0.39941393792629243,0.7772428381443024,0.1134278565471226,0.8418156808803301,0.060810810810810814,0.4300282108725724,245.80048274993896
3,2.0056109510482667,0.5362453098417762,0.3579242996312137,0.5751960274343518,0.485267727971077,0.39728649944067,5.223023915290833,0.4147461426258087,0.7843969511985779,0.15323598341445827,0.8252427184466019,0.08445945945945946,0.4507930257462816,236.35258960723877
4,1.8086143477039187,0.5226849416735161,0.3330811772688648,0.4301632875453778,0.4787289214134216,0.38869299709796906,3.3073177921772,0.4212857288122177,0.7852962291240693,0.16492263661568735,0.8254252461951657,0.09161367249602544,0.45716819818399146,237.00254797935486
5,1.7020743702121515,0.51281094654177,0.3116337231200842,0.36481875281816495,0.47501754879951474,0.37947949916124346,2.4158543428778647,0.4249973374605179,0.7869537997245789,0.19390436153441934,0.8175775480059084,0.10999602543720191,0.4686184995731721,242.51926159858704
6,1.5018884892386553,0.4693065612136156,0.2644697171321107,0.2988056438189728,0.4203274488449097,0.30920307494699956,1.4105484828352928,0.47969232618808744,0.8054971361160278,0.275682486350273,0.8913633894622488,0.1630564387917329,0.5202906495514628,292.800635099411
7,1.3328536923423144,0.4328247441809388,0.20794867576528317,0.25925552794073986,0.4003469812870026,0.30748192505910993,1.0835248646140099,0.4996756184101105,0.8099283218383789,0.3467348733114859,0.8863914997956681,0.21552066772655007,0.552112937853325,316.5118877887726
8,1.251670578968866,0.4150126342455019,0.18439693952907127,0.23724837305262989,0.3872732210159302,0.2970946192741394,0.857756050825119,0.5127496463060379,0.8142812788486481,0.3667246010428188,0.894757131842714,0.23062400635930047,0.5645851753991682,320.7046525478363
9,1.1916230501549119,0.40117967660275794,0.16718075636114535,0.2220829438330078,0.3809407705068588,0.2873182596452534,0.7602581787109375,0.5190845888853073,0.8108290815353394,0.40604387175947226,0.8900470746469401,0.263016693163752,0.5786525140600397,323.66574001312256
10,1.1407477988587629,0.3896588345970271,0.1509466719560631,0.21048345943176613,0.3748600971698761,0.2956407805904746,0.6386510729789734,0.5251652407646179,0.8127789103984833,0.38816976543500437,0.9221021244875139,0.24582670906200318,0.5753713055327019,328.091579914093
11,1.1060787804044663,0.38184026606297505,0.13967264711683788,0.20272560299975603,0.3682321819663048,0.31141214855946603,0.599523001909256,0.5317936879396439,0.8182342624664307,0.4300233381013325,0.8872320596458527,0.28378378378378377,0.5933504295024691,323.2369134426117
12,1.0780613278907545,0.375652435388569,0.13091428004721298,0.19584217894650852,0.36640887081623075,0.30305142743512986,0.5128603887557983,0.5336182391643525,0.817594598531723,0.44596504276682786,0.8867199053534457,0.29789348171701113,0.5990592934876344,320.88247561454773
13,1.0525400083819547,0.36951543531789666,0.1231850695568019,0.19032406551320738,0.3633449345827103,0.28585512859746814,0.45748738408088685,0.5366826534271241,0.8142025864124298,0.46771251368113825,0.8802526778357594,0.3184618441971383,0.606199251173564,327.700475692749
14,1.027729138335169,0.36408396697993695,0.11449420165343188,0.18506700143879354,0.3595068910717964,0.344950468596071,0.41511986404657364,0.5405195581912995,0.8133721137046814,0.4376697856927257,0.9096612296110415,0.28815580286168524,0.5971871525295689,289.9294550418854
15,1.013719549074256,0.3609934949271662,0.1093391831795836,0.1823933786806453,0.3573921802639961,0.315100409258157,0.41947233974933623,0.5426350802183151,0.8207592618465424,0.4851199075411731,0.8883597883597883,0.33366454689984104,0.6161714165353435,265.12228631973267
16,0.9962270821935653,0.35685332823917115,0.1042266515838017,0.17829377222906648,0.3598672634363174,0.3240338598005474,0.37619523733854293,0.5401618075370789,0.8187578773498535,0.47511146845990787,0.8985346972629251,0.322933227344992,0.61134371778228,254.46438360214233
17,0.9781851401075887,0.3527306230248183,0.09832663543302951,0.17439725958104452,0.35119877219200135,0.3106750101596117,0.3783541716635227,0.54882876932621,0.8199251890182495,0.4974271012006861,0.8859470468431772,0.34578696343402227,0.6220603531817153,249.03862190246582
18,0.9643200575588453,0.3495649673665821,0.09295349597485913,0.172236625350199,0.35268078655004503,0.3100948353204876,0.3076364541053772,0.547346887588501,0.8144068586826324,0.4671834625322998,0.9089342143062339,0.3143879173290938,0.6096457362678112,254.28364157676697
19,0.9522563227920896,0.3468730562433372,0.088591278284133,0.16991893263809515,0.35176346480846404,0.3273640326643363,0.34807571589946745,0.5482644265890122,0.8159197187423706,0.4997509782995376,0.8799799548985217,0.34896661367249604,0.6213117078769734,252.64924931526184
20,0.9430917461795562,0.34423199587222303,0.08688740524907965,0.16774035068974363,0.3502210810780525,0.33775946797803047,0.3305494396388531,0.5498072808980942,0.8180357635021209,0.4945636623748212,0.8827885597548519,0.34350158982511925,0.6208022355916788,256.6295304298401
21,0.9125510314647116,0.33549181487193397,0.07763464867030373,0.16393275363150597,0.34493068873882293,0.32779387906193735,0.33505072638392447,0.5550993150472641,0.8197420156002044,0.5222858739695404,0.8795294117647059,0.37142289348171703,0.6323757348723363,263.0923044681549
22,0.9002954830227429,0.3329154226454597,0.07264810769340894,0.16181653013173994,0.34489145934581755,0.3206415276788175,0.30915657132864,0.5551381248235703,0.8202714240550995,0.5114368670774024,0.8900665516391423,0.35880365659777425,0.6289488053186907,269.0704252719879
23,0.8985876726095531,0.3330791747209097,0.07174010870863125,0.16068921290409116,0.34341142266988756,0.32238690678961573,0.3143512772023678,0.5566186952590942,0.8173529875278472,0.5259866592551419,0.8745378927911276,0.3760930047694754,0.6333194473473611,266.9562442302704
