epoch,train_total,train_box_loss,train_cls_loss,train_obj_focal_loss,val_box_loss,val_cls_loss,val_obj_focal_loss,val_mean_iou,val_cls_accuracy,val_obj_f1,val_obj_precision,val_obj_recall,combined_score,epoch_seconds
1,11.43590958230182,1.041894815107541,0.6531007838021764,8.69901915513248,0.7449533879756928,0.49216011792421344,27.569970730543137,0.3823640933632851,0.7597845244407654,0.031408505657432695,0.8563829787234043,0.015997615262321144,0.3911857078204944,291.62834072113037
2,2.9472000605631843,0.7682838701054744,0.4249792734971436,0.9856530528897223,0.6928829938173294,0.4336996714770794,9.409177944660186,0.4017715495824814,0.7733364522457122,0.09406914644429869,0.8243021346469622,0.049880763116057235,0.4230590494241641,235.65816354751587
3,2.3776383873240574,0.7254444793861766,0.3735597500609244,0.5531896727157302,0.6712249296903611,0.4048945982009172,4.803952574133873,0.40985520243644713,0.7799524223804474,0.12377192177026904,0.814993954050786,0.06697138314785374,0.4378598488623879,236.10105109214783
4,2.1577986478508877,0.6972462534261709,0.3419328390699064,0.4213733036307466,0.6561802273988724,0.39138894245028494,3.1843659645318985,0.42022562205791475,0.7825658571720123,0.14050713441788604,0.8232161874334398,0.07680842607313196,0.447766204549271,237.11227679252625
5,2.04126043426501,0.6795436856510332,0.3215940485253763,0.36057901998764746,0.6445660471916199,0.38534174509346486,2.1472635516524314,0.42820566177368163,0.7829182147979736,0.18112807838291112,0.8110671936758893,0.10194753577106519,0.4640839849848555,237.41012239456177
6,1.7929760864393092,0.6104314760517056,0.2721894897548354,0.29992364441789765,0.5531364834308624,0.3230508365482092,1.366442315876484,0.48119855403900147,0.8029597795009613,0.29411764705882354,0.8848454636091725,0.17637122416534182,0.5260919935329288,267.55818819999695
7,1.5790584975384618,0.5481884825259311,0.22144282769731644,0.2612387030760513,0.5281416529417038,0.30760261327028277,1.0613914820551873,0.4964380425214767,0.8097650635242463,0.34579885423297263,0.8678115015974441,0.2159181240063593,0.5506673200928985,281.24356389045715
8,1.4703017671392054,0.5159948289616876,0.19630256123880982,0.24200954489666415,0.5089165860414505,0.32843710265122356,0.9028294232487678,0.5103636211156846,0.8073335802555084,0.36355037048715116,0.8794813119755912,0.2291335453100159,0.5604158572861148,289.78176641464233
9,1.3999424782792151,0.4988235471012285,0.17636455670277246,0.225930823404875,0.49661910116672514,0.2965694253798574,0.7668274196982384,0.5168014770746231,0.8134414005279541,0.3827706635622817,0.8741580999645516,0.24503179650238474,0.5710045137216196,278.31894159317017
10,1.34497249869082,0.4832941511343842,0.16278065962447313,0.21560353490634857,0.4911717861890793,0.29476862321607766,0.6290580809116364,0.5190033066272736,0.8139683759212494,0.3882709807886754,0.8936627282491945,0.2480127186009539,0.5737475544457328,276.97205352783203
11,1.3052333520685968,0.4729779783446281,0.15135579249983455,0.20792160019346512,0.48374942302703855,0.31117985778488216,0.5602211412787438,0.5258869814872742,0.80462970495224,0.40701056176335526,0.8857428381079281,0.2642090620031797,0.5791757494009565,273.1998965740204
12,1.2603330026469948,0.4602878174881676,0.1397434715696115,0.2000138971789256,0.4757234650850296,0.29481686807237567,0.5468793007731437,0.5284752506017685,0.8205664598941803,0.4292573143285822,0.8759951010410287,0.28428060413354533,0.5927663416081771,278.9659729003906
13,1.2270619198574855,0.4514455451850622,0.1289445003759609,0.19522632875169574,0.4658773601055145,0.295279278033413,0.5109477266669273,0.5370151913166046,0.8185081040859222,0.4387481371087929,0.8772348033373063,0.29252782193958665,0.5980904775037732,285.92239785194397
