epoch,train_total,train_box_loss,train_cls_loss,train_obj_focal_loss,val_box_loss,val_cls_loss,val_obj_focal_loss,val_mean_iou,val_cls_accuracy,val_obj_f1,val_obj_precision,val_obj_recall,combined_score,epoch_seconds
1,9.935463853655689,1.2855741129975653,0.8624133295164421,6.501902272660719,0.8671169817447663,0.6499481502175332,21.71770706653595,0.3353992235660553,0.7036251932382583,0.0,0.0,0.0,0.3463414722681046,306.2803919315338
2,3.074547838205522,0.8272430842617942,0.5755863380649682,0.8444753214216292,0.733914121389389,0.5831494957208634,7.836790788173675,0.37480988770723345,0.7192125487327575,0.0003973378364954803,0.6666666666666666,0.0001987281399046105,0.3648065914254955,275.4710102081299
3,2.5108875334979786,0.7541088449712712,0.46939166021366824,0.5332781806866295,0.6827090048789978,0.4828046643733978,5.3023508495092395,0.41495469450950623,0.7594738972187042,0.023240050353442433,0.45627376425855515,0.01192368839427663,0.3992228806938843,242.66346764564514
4,2.227931193907891,0.6988587704846,0.4104567260353558,0.4197569185967566,0.6364230334758758,0.43231657549738883,3.0461233603954314,0.43755082309246063,0.7724072372913361,0.0667176448097878,0.8768844221105527,0.03467806041335453,0.4255585683978615,243.2368516921997
5,2.065769694524897,0.6665027917197808,0.36938443689215783,0.3633796773056725,0.6430772739648819,0.4544396221637726,1.7889563792943954,0.4240518879890442,0.7627384984493255,0.044073390932919135,0.9578059071729957,0.02255564387917329,0.41028792579042966,247.56949758529663
6,1.9567301933521157,0.6412471909337101,0.34300200488991583,0.331233813094183,0.6130284959077835,0.40857856698334216,1.9495627224445342,0.44668915152549743,0.7765973997116089,0.15790896800360524,0.8496605237633366,0.0870429252782194,0.4603985064135705,246.19591856002808
7,1.8662215033194576,0.6212816560579899,0.3150994713995675,0.3085587221772183,0.6028592950105667,0.4089768774807453,1.7792050325870514,0.4589197713136673,0.7807615733146668,0.1539439048742852,0.8898216159496327,0.08426073131955485,0.46454174983420643,246.82834839820862
8,1.7978831930211945,0.6059805234009574,0.2941501303833582,0.29177202039712297,0.5835372906923294,0.39907606959342956,1.185601371228695,0.46430590748786926,0.7839851152896881,0.19338332598147331,0.8623131392604249,0.10890302066772654,0.48055811625301015,248.95561146736145
9,1.7345855890394295,0.5895346548882623,0.27741655726642445,0.27809971849090676,0.5758910048007965,0.3933725657314062,0.9729450049996377,0.47390784740448,0.7821512806415558,0.17351433965656746,0.9112370160528801,0.09588632750397456,0.4765244892342011,246.8157777786255
10,1.6896844777859181,0.5787145393856924,0.2644629778875844,0.26779242045945617,0.5729650604724884,0.3965893349796534,0.7750728410482407,0.47627037107944487,0.7799554753303528,0.13629247628695093,0.9308176100628931,0.07352941176470588,0.4641727742322495,245.7532753944397
11,1.6484429464652695,0.5671662878564956,0.25431374544575225,0.2597966224041681,0.5697142738103866,0.41017226040363314,0.8107318514585495,0.48014460146427157,0.7746753442287445,0.20576348620629065,0.8884673748103187,0.11635532591414945,0.4868611439664356,246.85719060897827
12,1.6015784459210984,0.5547498532174189,0.24033966382501137,0.25173907689611136,0.5590273213386535,0.44190802216529845,0.7097463259100913,0.4819727259874344,0.762231662273407,0.2243382545645147,0.928416485900217,0.12758346581875993,0.4895142142751187,246.51626801490784
13,1.5721966705298533,0.5476567772304008,0.23084259712315358,0.24604052097557097,0.5589043831825257,0.4340542883425951,0.8002170094847679,0.4841830837726593,0.7699159836769104,0.2494838265657261,0.9294871794871795,0.14407790143084262,0.5011942980050986,246.46612429618835
14,1.5430776098663508,0.5406107204972042,0.2213363284233545,0.24051984280211852,0.5429424774646759,0.38823654282838105,0.5651470822095871,0.49066808640956877,0.7816687965393067,0.22707423580786024,0.937950937950938,0.12917329093799682,0.4998037062522453,242.5998034477234
15,1.5142737045173376,0.5318581204303613,0.2149102979270515,0.2356471677876666,0.5442540997266769,0.3893394410610199,0.5018393480777741,0.4920242524147034,0.7809879004955291,0.21566561292588687,0.9274924471299094,0.12201907790143084,0.4962259219453731,242.9866955280304
